DIAGNOSIS CODE,LONG DESCRIPTION,SHORT DESCRIPTION
01480,"Other tuberculosis of intestines, peritoneum, and mesenteric glands, unspecified ",Intestinal TB NEC-unspec
01481,"Other tuberculosis of intestines, peritoneum, and mesenteric glands, bacteriological or histological examination not done",Intestin TB NEC-no exam
01482,"Other tuberculosis of intestines, peritoneum, and mesenteric glands, bacteriological or histological examination unknown (at present)",Intest TB NEC-exam unkn
01483,"Other tuberculosis of intestines, peritoneum, and mesenteric glands, tubercle bacilli found (in sputum) by microscopy",Intestin TB NEC-micro dx
01484,"Other tuberculosis of intestines, peritoneum, and mesenteric glands, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",Intestin TB NEC-cult dx
01485,"Other tuberculosis of intestines, peritoneum, and mesenteric glands, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",Intestin TB NEC-histo dx
01486,"Other tuberculosis of intestines, peritoneum, and mesenteric glands, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",Intestin TB NEC-oth test
01500,"Tuberculosis of vertebral column, unspecified ",TB of vertebra-unspec
01501,"Tuberculosis of vertebral column, bacteriological or histological examination not done",TB of vertebra-no exam
01502,"Tuberculosis of vertebral column, bacteriological or histological examination unknown (at present)",TB of vertebra-exam unkn
01503,"Tuberculosis of vertebral column, tubercle bacilli found (in sputum) by microscopy",TB of vertebra-micro dx
01504,"Tuberculosis of vertebral column, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",TB of vertebra-cult dx
01505,"Tuberculosis of vertebral column, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",TB of vertebra-histo dx
01506,"Tuberculosis of vertebral column, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",TB of vertebra-oth test
01510,"Tuberculosis of hip, unspecified ",TB of hip-unspec
01511,"Tuberculosis of hip, bacteriological or histological examination not done",TB of hip-no exam
01512,"Tuberculosis of hip, bacteriological or histological examination unknown (at present)",TB of hip-exam unkn
01513,"Tuberculosis of hip, tubercle bacilli found (in sputum) by microscopy",TB of hip-micro dx
01514,"Tuberculosis of hip, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",TB of hip-cult dx
01515,"Tuberculosis of hip, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",TB of hip-histo dx
01516,"Tuberculosis of hip, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",TB of hip-oth test
01520,"Tuberculosis of knee, unspecified ",TB of knee-unspec
01521,"Tuberculosis of knee, bacteriological or histological examination not done",TB of knee-no exam
01522,"Tuberculosis of knee, bacteriological or histological examination unknown (at present)",TB of knee-exam unkn
01523,"Tuberculosis of knee, tubercle bacilli found (in sputum) by microscopy",TB of knee-micro dx
01524,"Tuberculosis of knee, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",TB of knee-cult dx
01525,"Tuberculosis of knee, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",TB of knee-histo dx
01526,"Tuberculosis of knee, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",TB of knee-oth test
01550,"Tuberculosis of limb bones, unspecified ",TB of limb bones-unspec
01551,"Tuberculosis of limb bones, bacteriological or histological examination not done",TB limb bones-no exam
01552,"Tuberculosis of limb bones, bacteriological or histological examination unknown (at present)",TB limb bones-exam unkn
01553,"Tuberculosis of limb bones, tubercle bacilli found (in sputum) by microscopy",TB limb bones-micro dx
01554,"Tuberculosis of limb bones, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",TB limb bones-cult dx
01555,"Tuberculosis of limb bones, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",TB limb bones-histo dx
01556,"Tuberculosis of limb bones, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",TB limb bones-oth test
01560,"Tuberculosis of mastoid, unspecified ",TB of mastoid-unspec
01561,"Tuberculosis of mastoid, bacteriological or histological examination not done",TB of mastoid-no exam
01562,"Tuberculosis of mastoid, bacteriological or histological examination unknown (at present)",TB of mastoid-exam unkn
01563,"Tuberculosis of mastoid, tubercle bacilli found (in sputum) by microscopy",TB of mastoid-micro dx
01564,"Tuberculosis of mastoid, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",TB of mastoid-cult dx
01565,"Tuberculosis of mastoid, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",TB of mastoid-histo dx
01566,"Tuberculosis of mastoid, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",TB of mastoid-oth test
01570,"Tuberculosis of other specified bone, unspecified ",TB of bone NEC-unspec
01571,"Tuberculosis of other specified bone, bacteriological or histological examination not done",TB of bone NEC-no exam
01572,"Tuberculosis of other specified bone, bacteriological or histological examination unknown (at present)",TB of bone NEC-exam unkn
01573,"Tuberculosis of other specified bone, tubercle bacilli found (in sputum) by microscopy",TB of bone NEC-micro dx
01574,"Tuberculosis of other specified bone, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",TB of bone NEC-cult dx
01575,"Tuberculosis of other specified bone, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",TB of bone NEC-histo dx
01576,"Tuberculosis of other specified bone, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",TB of bone NEC-oth test
01580,"Tuberculosis of other specified joint, unspecified ",TB of joint NEC-unspec
01581,"Tuberculosis of other specified joint, bacteriological or histological examination not done",TB of joint NEC-no exam
01582,"Tuberculosis of other specified joint, bacteriological or histological examination unknown (at present)",TB joint NEC-exam unkn
01583,"Tuberculosis of other specified joint, tubercle bacilli found (in sputum) by microscopy",TB of joint NEC-micro dx
01584,"Tuberculosis of other specified joint, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",TB of joint NEC-cult dx
01585,"Tuberculosis of other specified joint, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",TB of joint NEC-histo dx
01586,"Tuberculosis of other specified joint, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",TB of joint NEC-oth test
01590,"Tuberculosis of unspecified bones and joints, unspecified ",TB bone/joint NOS-unspec
01591,"Tuberculosis of unspecified bones and joints, bacteriological or histological examination not done",TB bone/jt NOS-no exam
01592,"Tuberculosis of unspecified bones and joints, bacteriological or histological examination unknown (at present)",TB bone/jt NOS-exam unkn
01593,"Tuberculosis of unspecified bones and joints, tubercle bacilli found (in sputum) by microscopy",TB bone/jt NOS-micro dx
01594,"Tuberculosis of unspecified bones and joints, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",TB bone/jt NOS-cult dx
01595,"Tuberculosis of unspecified bones and joints, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",TB bone/jt NOS-histo dx
01596,"Tuberculosis of unspecified bones and joints, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",TB bone/jt NOS-oth test
01600,"Tuberculosis of kidney, unspecified ",TB of kidney-unspec
01601,"Tuberculosis of kidney, bacteriological or histological examination not done",TB of kidney-no exam
01602,"Tuberculosis of kidney, bacteriological or histological examination unknown (at present)",TB of kidney-exam unkn
01603,"Tuberculosis of kidney, tubercle bacilli found (in sputum) by microscopy",TB of kidney-micro dx
01604,"Tuberculosis of kidney, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",TB of kidney-cult dx
01605,"Tuberculosis of kidney, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",TB of kidney-histo dx
01606,"Tuberculosis of kidney, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",TB of kidney-oth test
01610,"Tuberculosis of bladder, unspecified ",TB of bladder-unspec
01611,"Tuberculosis of bladder, bacteriological or histological examination not done",TB of bladder-no exam
01612,"Tuberculosis of bladder, bacteriological or histological examination unknown (at present)",TB of bladder-exam unkn
01613,"Tuberculosis of bladder, tubercle bacilli found (in sputum) by microscopy",TB of bladder-micro dx
01614,"Tuberculosis of bladder, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",TB of bladder-cult dx
01615,"Tuberculosis of bladder, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",TB of bladder-histo dx
01616,"Tuberculosis of bladder, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",TB of bladder-oth test
01620,"Tuberculosis of ureter, unspecified ",TB of ureter-unspec
01621,"Tuberculosis of ureter, bacteriological or histological examination not done",TB of ureter-no exam
01622,"Tuberculosis of ureter, bacteriological or histological examination unknown (at present)",TB of ureter-exam unkn
01623,"Tuberculosis of ureter, tubercle bacilli found (in sputum) by microscopy",TB of ureter-micro dx
01624,"Tuberculosis of ureter, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",TB of ureter-cult dx
01625,"Tuberculosis of ureter, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",TB of ureter-histo dx
01626,"Tuberculosis of ureter, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",TB of ureter-oth test
01630,"Tuberculosis of other urinary organs, unspecified ",TB urinary NEC-unspec
01631,"Tuberculosis of other urinary organs, bacteriological or histological examination not done",TB urinary NEC-no exam
01632,"Tuberculosis of other urinary organs, bacteriological or histological examination unknown (at present)",TB urinary NEC-exam unkn
